area_m2,num_habitaciones,num_banos,distrito,antiguedad_anos,vista_mar,precio
139,1,2,San Isidro,7,0,380619.28
96,1,1,San Isidro,7,0,221302.53
122,4,1,San Isidro,23,0,338702.68
128,2,1,Surco,21,1,341815.62
132,3,2,Surco,19,0,346460.6
47,4,1,San Isidro,22,0,129992.25
113,4,2,Surco,14,0,330508.17
136,4,2,Miraflores,29,0,391315.17
87,2,2,San Isidro,19,0,242334.51
116,2,2,Miraflores,5,0,290899.71
127,4,1,San Isidro,1,0,372786.82
126,2,2,Magdalena,5,0,349900.49
143,3,2,Magdalena,9,0,372579.73
77,4,2,Magdalena,17,0,238118.65
103,4,2,San Isidro,3,0,322725.16
62,4,1,Magdalena,13,0,200857.65
76,4,1,Surco,25,0,220921.27
126,1,2,Magdalena,1,0,332597.03
141,3,2,San Isidro,21,0,400029.95
55,3,2,Magdalena,29,0,151676.16
113,2,2,Surco,6,0,301398.33
108,4,2,Miraflores,26,1,312592.07
66,3,1,Surco,29,0,175972.94
126,3,1,San Isidro,17,0,341671.92
110,4,2,San Isidro,21,0,320922.68
98,2,2,Miraflores,16,0,280822.53
79,3,2,San Isidro,23,0,218365.23
85,1,1,Miraflores,16,1,222964.18
97,3,2,Surco,12,1,315150.5
32,4,1,Magdalena,26,0,117269.47
114,3,1,Miraflores,19,1,341050.69
69,2,1,San Isidro,16,0,182069.11
96,2,2,San Isidro,28,1,251582.59
114,3,2,Surco,6,0,323987.38
77,3,2,Miraflores,2,1,248528.22
91,4,1,Miraflores,7,0,259830.72
78,1,2,Miraflores,10,1,219862.2
37,4,1,Magdalena,5,1,159592.67
135,2,1,Magdalena,14,1,379238.45
129,4,2,San Isidro,17,0,379381.29
122,2,2,Magdalena,0,0,345558.58
82,1,2,Magdalena,0,0,228681.2
132,2,1,Miraflores,2,0,364887.22
127,1,2,San Isidro,6,0,333473.05
115,2,2,Miraflores,5,0,276207.97
148,3,1,San Isidro,15,0,380784.54
124,3,1,Magdalena,29,1,355046.43
57,4,1,Magdalena,14,0,174238.32
64,4,2,Surco,29,0,164194.91
127,1,1,Surco,28,0,327963.25
106,2,2,Magdalena,9,0,272910.5
70,2,2,Surco,17,0,201273.95
33,2,1,Miraflores,5,0,99006.66
136,1,1,San Isidro,19,0,323261.14
99,4,2,Miraflores,26,0,277938.21
94,2,2,Miraflores,6,0,281935.64
105,2,2,Surco,4,1,327520.1
64,4,2,Miraflores,26,0,188637.7
88,1,2,Surco,7,1,260673.11
40,3,1,Magdalena,13,0,139862.31
52,4,2,San Isidro,17,0,195114.01
107,2,2,Miraflores,14,0,274202.39
48,3,2,Magdalena,6,0,137412.43
130,1,1,Surco,0,1,364217.6
45,2,2,Surco,19,0,126485.72
137,1,2,Miraflores,1,0,362178.28
57,3,1,Magdalena,3,0,167372.75
138,1,1,Magdalena,0,0,340167.92
60,4,1,Surco,8,1,223858.86
82,1,2,San Isidro,13,0,205760.97
100,4,2,Miraflores,5,1,300367.43
139,4,1,San Isidro,17,0,355148.63
145,3,1,Miraflores,20,1,424630.43
56,1,2,Magdalena,19,0,142088.95
110,3,1,San Isidro,2,1,343812.01
36,2,1,Surco,2,0,89289.91
44,1,1,Surco,13,0,110380.96
146,1,2,Surco,0,0,408370.95
133,4,1,Magdalena,14,0,373292.48
105,1,2,Surco,2,0,288978.46
84,1,2,Magdalena,27,0,208077.52
101,4,2,Magdalena,26,1,324487.86
31,1,1,Surco,14,1,122736.74
73,1,2,Surco,14,0,161757.31
88,2,2,San Isidro,0,0,261841.43
131,1,2,Miraflores,18,0,349279.39
85,1,1,Miraflores,23,0,218603.98
55,1,1,San Isidro,25,0,119701.75
80,3,1,San Isidro,0,0,236039.05
114,4,1,Surco,3,1,357857.6
86,3,2,Surco,9,1,261314.03
79,2,1,San Isidro,27,0,207423.41
42,2,2,San Isidro,23,1,133385.48
48,1,2,Surco,15,0,150887.77
111,3,2,Magdalena,16,0,309239.31
31,3,2,Miraflores,10,0,108020.65
81,2,1,Magdalena,27,0,200124.07
74,3,2,San Isidro,14,0,214778.48
147,3,2,Magdalena,15,0,417997.49
135,1,2,Surco,21,0,354943.6
